id,name,price,original_price,rating_average,review_count,author,category_path,quantity_sold,inventory_status,specifications
214599046,Sao Ta Làm Điều Ta Làm,128000,168000,5,14,Edward L.Deci,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,370,available,"Phiên bản sách: Phiên bản thường | Công ty phát hành: First News - Trí Việt | Ngày xuất bản: 2023-01-01 00:00:00 | Kích thước: 14,5 x 20.5 cm | Dịch Giả: Huỳnh Hiếu Thuận | Loại bìa: Bìa mềm | Số trang: 320 | Nhà xuất bản: Nhà Xuất Bản Dân Trí"
207841114,Ghi Chép Pháp Y – Những Cái Chết Bí Ẩn,111000,150000,5,853,Lưu Hiểu Huy,Sách tiếng Việt > Sách văn học > Truyện trinh thám,6384,available,"Phiên bản sách: Phiên bản thường | Công ty phát hành: BeBooks | Ngày xuất bản: 2022-01-01 00:00:00 | Kích thước: 15,7x24 cm | Dịch Giả: Bùi Thanh Thúy | Loại bìa: Bìa mềm | Số trang: 344 | Nhà xuất bản: Nhà Xuất Bản Thanh Niên"
192124406,Những bức di thư Thành cổ,125000,130000,5,21,Lê Bá Dương,Sách tiếng Việt > Sách văn học > Truyện ngắn - Tản văn - Tạp Văn > Truyện ngắn - Tản văn - Tạp Văn Việt Nam,118,available,Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2022-08-01 00:00:00 | Kích thước: 15.5 x 20 cm | Loại bìa: Bìa mềm | Số trang: 120 | Nhà xuất bản: NXB Trẻ
187183513,Những biên bản cuối cùng tại Nhà Trắng: PHÚT SỤP ĐỔ CỦA VIỆT NAM CỘNG HÒA - Viện Nghiên cứu phát triển Phương Đông - NXB Chính trị Quốc gia Sự thật,122000,122000,5,5,,Sách tiếng Việt > Sách Lịch sử > Lịch Sử Việt Nam,36,available,Công ty phát hành: Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật | Loại bìa: Bìa mềm | Số trang: 312 | Nhà xuất bản: Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật
181122317,Chân Trần Chí Thép (Tái Bản 2022),129000,168000,5,33,Jammes G Zumwalt,Sách tiếng Việt > Sách văn học > Tiểu sử - Hồi ký,288,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: First News - Trí Việt | Ngày xuất bản: 2022-01-01 00:00:00 | Kích thước: 16x24 cm | Dịch Giả: Đỗ Hùng | Loại bìa: Bìa mềm | Số trang: 376 | Nhà xuất bản: Nhà Xuất Bản Tổng hợp TP.HCM
180230986,Harry Potter và Đứa trẻ bị nguyền rủa,141000,170000,4.8,36,J.K.Rowling,Sách tiếng Việt > Sách văn học > Tiểu Thuyết > Tiểu Thuyết Phương Tây,341,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2022-01-01 00:00:00 | Kích thước: 13 x 20 cm | Dịch Giả: Như Mai | Loại bìa: Bìa mềm | Số trang: 468 | Nhà xuất bản: NXB Trẻ
179546672,Làm Sao Học Hết Được Nhân Sinh,135000,169000,5,179,Pomnyun,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,2039,available,"Phiên bản sách: Phiên bản thường | Công ty phát hành: Nhã Nam | Ngày xuất bản: 2022-01-01 00:00:00 | Kích thước: 14x20.5 cm | Dịch Giả: Vương Thúy Quỳnh Anh , Yoo Geun Taek | Loại bìa: Bìa mềm | Số trang: 292 | Nhà xuất bản: Nhà Xuất Bản Dân Trí"
155463021,Hành Trình Nuôi Con Mang Thai - Cẩm Nang Thai Sản Đầy Đủ Nhất,446000,699000,4.8,77,Heidi Murkoff,Sách tiếng Việt > Nuôi dạy con > Sách Thai Giáo > Thai giáo,593,available,Công ty phát hành: OMEGA PLUS+ | Ngày xuất bản: 2022-01-01 00:00:00 | Kích thước: 22 x 27 cm | Dịch Giả: Omega Plus+ | Loại bìa: Bìa cứng | Số trang: 644 | Nhà xuất bản: Nhà Xuất Bản Dân Trí
132366458,Hướng Dẫn Chẩn Đoán Tâm Lý Tâm Thần Theo DSM-5,216000,240000,0,0,Phạm Toàn,Sách tiếng Việt > Sách Kiến Thức Tổng Hợp > Lĩnh vực khác,3,available,Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2021-10-10 00:00:00 | Kích thước: 14 x 20 cm | Loại bìa: Bìa mềm | Số trang: 736 | Nhà xuất bản: NXB Trẻ
113583126,Ngữ Pháp Tiếng Anh (Tái Bản),65100,89000,5,358,Mai Lan Hương,Sách tiếng Việt > Sách Học Ngoại Ngữ > Sách Học Tiếng Anh > Ngữ pháp Tiếng Anh,2679,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Zenbooks | Ngày xuất bản: 2021-07-01 00:00:00 | Kích thước: 17 x 24 cm | Loại bìa: Bìa mềm | Số trang: 280 | Nhà xuất bản: Nhà Xuất Bản Đà Nẵng
