id,name,price,original_price,rating_average,review_count,author,quantity_sold,inventory_status,Công ty phát hành,Loại bìa,Số trang,Ngày xuất bản,main_category,sub_category_1,sub_category_2,sub_category_3,sub_category_4,page_range,quantity_range,rating_range
275900071,Suy Nghĩ Thống Kê Trong Đời Thường,123000,165000,5,174,Nguyễn Văn Tuấn,1667,available,NXB Tổng hợp TP.HCM,Bìa mềm,392,09/09/22,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,,,1-500,0-2500,5 sao
275354843,"Phương Pháp Học Tập Feynman - 5 Bước Giúp Bạn Học Nhanh, Nhớ Lâu, Tiến Bộ Vượt Bậc",106000,136000,5,11,Không rõ,232,available,Fahasa,Không có,Không rõ,,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,Không rõ,0-2500,5 sao
275140709,SỨC MẠNH CỦA EQ- Đánh thức trí tuệ cảm xúc - Làm chủ ngôn ngữ - Thu phục lòng người,65100,99000,4.8,13,Patrick King,452,available,R.E.A.D Books,Bìa mềm,176,,Sách tiếng Việt,Sách kỹ năng sống,Sách kỹ năng mềm,Sách Chữa Lành,,1-500,0-2500,4 sao
274828145,Ngôi nhà trên phố Mango,78900,98000,5,3,Sandra Cýneros,72,available,Nhã Nam,Bìa mềm,Không rõ,01/03/24,Sách tiếng Việt,Sách văn học,Tiểu Thuyết,Tiểu Thuyết Phương Tây,,Không rõ,0-2500,5 sao
273787215,Sách lật tương tác song ngữ 0 - 3 tuổi - Ú òa,83600,98000,0,0,Giuliano Ferri,36,available,Nhã Nam,Bìa cứng,16,,Sách tiếng Việt,Sách thiếu nhi,Sách chuyển động -Tương tác,,,1-500,0-2500,0 sao
273691878,Đế chế ký hiệu,66100,85000,4.8,11,Roland Barthes,107,available,Nhã Nam,Bìa mềm,152,04/12/23,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,0-2500,4 sao
273119477,Việt Nam Sử Lược (Ấn Bản Kỉ Niệm 100 Năm Xuất Bản Lần Đầu),502000,660000,5,755,Trần Trọng Kim,3364,available,Công Ty Cổ Phần Văn Hóa Đông A,Bìa cứng,656,07/15/21,Sách tiếng Việt,Sách Lịch sử,Lịch Sử Việt Nam,,,500-1000,2500-5000,5 sao
271631013,Truyện Ehon bé 1-2-3 tuổi - Bộ 4 cuốn Em bé biết yêu thương,187000,187000,0,0,Không rõ,0,available,Công ty TNHH More Production Việt Nam,Không có,130,,Sách tiếng Việt,Sách thiếu nhi,Truyện tranh Ehon,,,1-500,0-2500,0 sao
271014726,Truyện tranh cổ tích Việt Nam,127500,170000,0,0,Búp trên cành,0,available,Nhà xuất bản Phụ Nữ Việt Nam,Bìa mềm,Không rõ,,Sách tiếng Việt,Sách thiếu nhi,Truyện cổ tích,,,Không rõ,0-2500,0 sao
263514100,Liệu Pháp Chữa Bệnh - Khu Phản Xạ,85050,103100,4.8,33,Cao Ngọc Vĩ,418,available,Nhà sách Minh Thắng,Bìa mềm,76,02/01/23,Sách tiếng Việt,Sách Y Học,Sách Y Học Khác,,,1-500,0-2500,4 sao
222679651,Những Con Số Biết Nói - 71 Câu Chuyện Phơi Bày Sự Thật Về Thế Giới Chúng Ta Đang Sống,105000,124000,0,0,Vaclav Smil,0,available,R.E.A.D Books,Bìa mềm,376,01/01/23,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,0-2500,0 sao
214598579,Tôi Tự Học (Ấn Bản Hoài Cổ),126000,150000,4.8,6,Thu Giang Nguyễn Duy Cần,58,available,NXB Trẻ,Bìa mềm,320,01/01/23,Sách tiếng Việt,Sách kỹ năng sống,Sách kỹ năng mềm,Kỹ Năng Khác,,1-500,0-2500,4 sao
206675362,Nâng Cao Tần Số Rung Động Mỗi Ngày: Khám Phá Cách Năng Lượng Vận Hành,102000,135000,0,0,Lalah Delia,0,available,BIZBOOKS,Bìa mềm,220,10/10/22,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,0-2500,0 sao
205039768,Vegan Journey - Món Tây Gia Vị Việt,156000,225000,4.7,19,Shushu Le,371,available,I Love Cookbooks,Bìa mềm,184,11/11/22,Sách tiếng Việt,Sách Thường Thức - Gia Đình,Sách Nấu ăn,,,1-500,0-2500,4 sao
199030585,Search Inside Yourself – Tìm kiếm bên trong bạn (Tái bản),109000,149000,4.7,101,Chade-Meng Tan,2179,available,Thái Hà,Bìa mềm,344,09/01/22,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,,,1-500,0-2500,4 sao
195573547,Sách Lén Nhặt Chuyện Đời,46700,85000,5,12,Không rõ,235,available,CÔNG TY TNHH PHÁT HÀNH S BOOKS,Không có,Không rõ,,Sách tiếng Việt,Sách văn học,Tiểu Thuyết,Tiểu Thuyết Phương Tây,,Không rõ,0-2500,5 sao
178294073,Trading in The Zone - Thực Hành Kiểm Soát Cảm Xúc bằng Tâm Lý Học Hành Vi trong Đầu Tư và Giao Dịch,295000,295000,4.8,213,Mark Douglas,2034,available,Công ty TNHH FinFin,Bìa cứng,288,05/19/22,Sách tiếng Việt,Sách kinh tế,Sách tài chính,Đầu tư,,1-500,0-2500,4 sao
147920907,Combo Bộ 6 Cuốn: Thư Viện Song Ngữ Đầu Tiên Cho Bé (0-3 Tuổi),87000,108000,5,44,Nhiều tác giả,672,available,Nhã Nam,Bìa cứng,6,12/01/21,Sách tiếng Việt,Sách thiếu nhi,Kiến thức - Bách khoa,,,1-500,0-2500,5 sao
145289356,"Sách Atomic Habits - Thay Đổi Tí Hon, Hiệu Quả Bất Ngờ ( Những Thay Đổi Nhỏ Tạo Nên Thành Công Lớn/ Tặng kèm Bookmark)",170000,189000,5,1,Không rõ,17,available,Phương Nam,Không có,Không rõ,,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,Không rõ,0-2500,5 sao
99681450,Napoléon Bonaparte,501500,590000,5,22,Adam Zamoyski,55,available,Công Ty Cổ Phần Văn Hóa Đông A,Bìa cứng,916,05/01/21,Sách tiếng Việt,Sách Văn Hóa - Địa Lý - Du Lịch,Sách Danh Nhân,Danh nhân Nước Ngoài,,500-1000,0-2500,5 sao
91553053,Tiểu Sử Các Quốc Gia Qua Góc Nhìn Lầy Lội,152000,215000,5,61,Sai Lei,761,available,Nhã Nam,Bìa mềm,280,04/01/21,Sách tiếng Việt,Sách Kiến Thức Tổng Hợp,Kiến Thức Bách Khoa,,,1-500,0-2500,5 sao
91471505,Sách You Can - Không Gì Là Không Thể (Tái Bản),67000,78000,4.8,5,George Matthew Adams,20,available,First News - Trí Việt,Bìa mềm,200,04/01/21,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,0-2500,4 sao
75996787,Vợ Chồng Lão Twit (Tái Bản 2021),29100,30000,5,7,Roald Dahl,44,available,NXB Kim Đồng,Bìa mềm,92,01/01/21,Sách tiếng Việt,Sách thiếu nhi,Văn học thiếu nhi,,,1-500,0-2500,5 sao
75996783,Bác Fox Tuyệt Vời (Tái Bản 2021),27600,30000,5,6,Roald Dahl,39,available,NXB Kim Đồng,Bìa mềm,108,01/01/21,Sách tiếng Việt,Sách thiếu nhi,Văn học thiếu nhi,,,1-500,0-2500,5 sao
74793313,Năm Chú Heo Con,85100,115000,5,93,Agatha Christie,487,available,NXB Trẻ,Bìa mềm,312,01/01/21,Sách tiếng Việt,Sách văn học,Truyện trinh thám,,,1-500,0-2500,5 sao
65443438,KPI Thước Đo Mục Tiêu Trọng Yếu (Key Performance Indicators) - David Parmenter - PACE Books,145600,195000,4.8,121,David Parmenter,1066,available,Viện Quản lý PACE,Bìa cứng,504,08/01/20,Sách tiếng Việt,Sách kinh tế,Sách quản trị nhân lực,,,500-1000,0-2500,4 sao
53433383,Bài Học Israel - Cuộc Hồi Sinh Vĩ Đại Của Dân Tộc Thông Minh Nhất Thế Giới (Tái bản 2020),127000,189000,4.8,47,Nguyễn Hiến Lê,289,available,BIZBOOKS,Bìa mềm,403,,Sách tiếng Việt,Sách Lịch sử,Lịch Sử Thế Giới,,,1-500,0-2500,4 sao
52393321,38 Chủ Điểm Từ Vựng Thiết Yếu IELTS 7.0 (Tái Bản 2020),113900,150000,4.8,64,Tú Phạm ,309,available,NXB Phụ Nữ Việt Nam,Bìa mềm,240,04/10/19,Sách tiếng Việt,Sách Học Ngoại Ngữ,Sách Học Tiếng Anh,Luyện thi IELTS,,1-500,0-2500,4 sao
48481763,Thiên Nga Đen (Tái Bản 2020),239200,299000,5,65,Nassim Nicholas Taleb,314,available,Alphabooks,Bìa mềm,628,02/02/20,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,500-1000,0-2500,5 sao
44934855,Lãnh Đạo Bán Hàng Chuyên Nghiệp – Bí Quyết Xây Dựng Đội Nhóm Bán Hàng “Bất Khả Chiến Bại”,143000,205000,4.5,24,Keith Rosen,256,available,BIZBOOKS,Bìa mềm,545,,Sách tiếng Việt,Sách kinh tế,Sách Marketing - Bán hàng,,,500-1000,0-2500,4 sao
34281582,Sen Nở Trời Phương Ngoại,100300,118000,5,4,Thích Nhất Hạnh,39,available,Saigon Books,Bìa mềm,344,09/01/19,Sách tiếng Việt,Sách Tôn Giáo - Tâm Linh,Phật giáo,,,1-500,0-2500,5 sao
30757177,Bản Chất Của Người,105700,129000,4.6,16,Han Kang,273,available,Nhã Nam,Bìa mềm,350,10/01/24,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,0-2500,4 sao
11221400,Đam Mê - Bí Quyết Tạo Thành Công (Tái Bản 2019),65300,76000,0,0,Stephen R. Covey,30,available,First News - Trí Việt,Bìa mềm,216,02/01/19,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,,,1-500,0-2500,0 sao
10383904,Tôi Là Bêtô,70400,95000,4.8,1211,Nguyễn Nhật Ánh,12180,available,NXB Trẻ,Bìa mềm,230,01/01/18,Sách tiếng Việt,Sách văn học,Truyện dài,,,1-500,10000-20000,4 sao
1667307,Quân Vương – Thuật Cai Trị (Tái Bản),87200,109000,4.7,24,Niccolò Machiavelli,115,available,Omega Plus,Bìa mềm,200,03/03/18,Sách tiếng Việt,Sách Chính Trị - Pháp Lý,Lý Luận Chính Trị,Kinh tế chính trị,,1-500,0-2500,4 sao
1544261,Băng Keo Giấy 1F5 (3 Cuộn / Lốc),18000,18000,4.8,13,Không rõ,152,available,Không rõ,Không có,Không rõ,,Văn phòng phẩm,Dụng Cụ Văn Phòng,Băng keo,Băng keo giấy,,Không rõ,0-2500,4 sao
